Fecha,Último,Apertura,Máximo,Mínimo,% var.
01-01-1991,"0,9525","0,95","0,9875","0,528","67,11%"
01-01-1992,"0,9909","0,9908","0,9919","0,99","-0,76%"
01-01-1993,"0,9986","0,998","0,9986","0,998","-0,04%"
01-01-1994,"0,9986","0,998",1,"0,9976","0,06%"
01-01-1995,1,1,"1,003","0,9978","0,00%"
01-01-1996,1,"0,9999",1,"0,9994","-0,02%"
01-01-1997,"0,9997","0,9998","0,9999","0,9994","-0,01%"
01-01-1998,"0,9996","0,9994",1,"0,9922","-0,02%"
01-01-1999,"0,9996","0,9998","1,0065","0,999","0,05%"
01-01-2000,"0,9998","0,9998","0,9999","0,9991","-0,01%"
01-01-2001,"0,9998","0,9983","0,9998","0,9983","0,14%"
01-01-2002,"1,965","1,95","1,965","1,95","88,04%"
01-01-2003,"3,205","3,36","3,375","3,01","-4,75%"
01-01-2004,"2,9275","2,925","2,9675","2,835","0,05%"
01-01-2005,"2,9213","2,9765","2,9788","2,9165","-1,72%"
01-01-2006,"3,0665","3,026","3,0695","3,026","1,15%"
01-01-2007,"3,1088","3,0575","3,1115","3,051","1,63%"
01-01-2008,"3,158","3,149","3,1638","3,1235","0,25%"
01-01-2009,"3,4855","3,456","3,491","3,446","0,91%"
01-01-2010,"3,8235","3,803","3,838","3,786","0,59%"
01-01-2011,"4,005","3,969","4,0097","3,968","0,91%"
01-01-2012,"4,33","4,302","4,3415","4,3005","0,65%"
01-01-2013,"4,977","4,9187","4,9792","4,9185","1,26%"
01-01-2014,"8,0178","6,5205","8,215","6,5205","23,03%"
01-01-2015,"8,632","8,5525","8,6825","8,5475","1,07%"
01-01-2016,"13,8869","12,9369","14,0535","12,9084","7,35%"
01-02-1991,"0,996","0,995","0,996","0,899","4,57%"
01-02-1992,"0,9902","0,9901","0,9935","0,9898","-0,07%"
01-02-1993,1,"0,998","1,008","0,99","0,14%"
01-02-1994,"0,9998","0,9993","1,0002","0,9977","0,12%"
01-02-1995,1,1,"1,0006","0,9996","0,00%"
01-02-1996,"0,9996","0,9995",1,"0,9994","-0,04%"
01-02-1997,"0,9996","0,9999","0,9999","0,9993","-0,01%"
01-02-1998,"0,9999","0,9998","1,0003","0,9993","0,03%"
01-02-1999,"0,9996","0,9998","0,9999","0,9994","0,00%"
01-02-2000,"0,9998","0,9998","0,9998","0,9938","0,00%"
01-02-2001,"0,9999","0,9998","0,9999","0,999","0,01%"
01-02-2002,"2,105","1,67","2,155","1,65","7,12%"
01-02-2003,"3,2","3,19","3,23","3,07","-0,16%"
01-02-2004,"2,9225","2,8775","2,97","2,839","-0,17%"
01-02-2005,"2,9387","2,922","2,9422","2,884","0,60%"
01-02-2006,"3,0713","3,0648","3,0803","3,0573","0,16%"
01-02-2007,"3,1002","3,1025","3,1078","3,09","-0,28%"
01-02-2008,"3,1605","3,157","3,172","3,1425","0,08%"
01-02-2009,"3,563","3,486","3,5695","3,477","2,22%"
01-02-2010,"3,858","3,826","3,881","3,823","0,90%"
01-02-2011,"4,0235",4,"4,0322","3,998","0,46%"
01-02-2012,"4,351","4,3305","4,3585","4,3292","0,48%"
01-02-2013,"5,044","4,9825","5,0465","4,9777","1,35%"
01-02-2014,"7,8845","8,0187","8,07","7,749","-1,66%"
01-02-2015,"8,72","8,633","8,7262","8,633","1,02%"
01-02-2016,"15,815","13,8981","15,84","13,8925","13,88%"
01-03-1991,"0,9625","0,9615","0,999","0,928","-3,36%"
01-03-1992,"0,9921","0,992","0,9951","0,9899","0,19%"
01-03-1993,"0,999","0,998","1,0006","0,998","-0,10%"
01-03-1994,1,"0,998","1,0002","0,998","0,02%"
01-03-1995,1,1,"1,0015","0,9993","0,00%"
01-03-1996,"0,9999","0,9999","1,0003","0,9995","0,03%"
01-03-1997,"0,9998","0,9998","0,9999","0,9995","0,02%"
01-03-1998,"0,9999","0,9998",1,"0,9994","0,00%"
01-03-1999,"0,9993","0,9999","0,9999","0,9993","-0,03%"
01-03-2000,"0,9995","0,9998","0,9999","0,9958","-0,03%"
01-03-2001,"0,9985","0,9998","1,0011","0,9984","-0,14%"
01-03-2002,"2,94","2,08","3,48","1,98","39,67%"
01-03-2003,"2,9725","3,21","3,2125","2,87","-7,11%"
01-03-2004,"2,86","2,92","2,94","2,8425","-2,14%"
